cell_id,UMAP1,UMAP2,cell_line,perturbation,dose_value,dose_unit,time,condition,source
G01_E09_RT_BC_31_Lig_BC_43-0,10.989033,3.2072701,A549,control,0.0,nM,24.0,control_0,control
D06_F10_RT_BC_104_Lig_BC_265-0,5.9981866,-0.23356773,A549,control,0.0,nM,24.0,control_0,control
H11_F10_RT_BC_172_Lig_BC_54-0,6.348986,-1.5363141,A549,control,0.0,nM,24.0,control_0,control
D10_F10_RT_BC_20_Lig_BC_349-0,12.389244,-1.398481,A549,control,0.0,nM,24.0,control_0,control
D01_E09_RT_BC_230_Lig_BC_195-0,10.362316,-1.4733969,A549,control,0.0,nM,24.0,control_0,control
G01_E09_RT_BC_207_Lig_BC_78-0,10.23787,3.2745936,A549,control,0.0,nM,24.0,control_0,control
B08_E09_RT_BC_325_Lig_BC_225-0,7.6118813,-3.713668,A549,control,0.0,nM,24.0,control_0,control
C09_F10_RT_BC_55_Lig_BC_294-0,13.019264,-0.011160058,A549,control,0.0,nM,24.0,control_0,control
A06_E09_RT_BC_17_Lig_BC_307-0,5.547567,-1.2652134,A549,control,0.0,nM,24.0,control_0,control
H12_F10_RT_BC_190_Lig_BC_273-0,7.6564054,1.7906388,A549,control,0.0,nM,24.0,control_0,control
B05_E09_RT_BC_225_Lig_BC_238-0,8.642592,-1.0666857,A549,control,0.0,nM,24.0,control_0,control
F09_F10_RT_BC_304_Lig_BC_45-0,8.451908,-0.28473654,A549,control,0.0,nM,24.0,control_0,control
D05_E09_RT_BC_51_Lig_BC_308-0,7.988698,-0.37432516,A549,control,0.0,nM,24.0,control_0,control
C04_F10_RT_BC_175_Lig_BC_321-0,9.485593,-3.5489526,A549,control,0.0,nM,24.0,control_0,control
D07_E09_RT_BC_327_Lig_BC_367-0,12.996859,0.37659281,A549,control,0.0,nM,24.0,control_0,control
B02_E09_RT_BC_344_Lig_BC_201-0,11.773442,2.1303356,A549,control,0.0,nM,24.0,control_0,control
B12_F10_RT_BC_370_Lig_BC_357-0,10.760473,1.9063008,A549,control,0.0,nM,24.0,control_0,control
C04_E09_RT_BC_373_Lig_BC_284-0,8.0064745,2.1690066,A549,control,0.0,nM,24.0,control_0,control
A07_F10_RT_BC_153_Lig_BC_31-0,13.016151,-0.8981587,A549,control,0.0,nM,24.0,control_0,control
F12_E09_RT_BC_99_Lig_BC_69-0,8.836972,-3.3695216,A549,control,0.0,nM,24.0,control_0,control
D06_F10_RT_BC_345_Lig_BC_165-0,8.256385,3.019221,A549,control,0.0,nM,24.0,control_0,control
E05_E09_RT_BC_216_Lig_BC_121-0,8.640248,-3.821158,A549,control,0.0,nM,24.0,control_0,control
D02_F10_RT_BC_196_Lig_BC_255-0,11.028045,1.8378444,A549,control,0.0,nM,24.0,control_0,control
D06_E09_RT_BC_162_Lig_BC_359-0,9.809856,-4.539486,A549,control,0.0,nM,24.0,control_0,control
F06_F10_RT_BC_357_Lig_BC_100-0,12.645849,2.0484095,A549,control,0.0,nM,24.0,control_0,control
G12_E09_RT_BC_121_Lig_BC_19-0,9.537038,2.5568738,A549,control,0.0,nM,24.0,control_0,control
G10_F10_RT_BC_103_Lig_BC_125-0,1.8129909,1.2751665,A549,control,0.0,nM,24.0,control_0,control
A07_F10_RT_BC_81_Lig_BC_221-0,10.917395,2.9146473,A549,control,0.0,nM,24.0,control_0,control
H10_E09_RT_BC_152_Lig_BC_365-0,8.753359,3.743171,A549,control,0.0,nM,24.0,control_0,control
A03_F10_RT_BC_173_Lig_BC_197-0,8.945701,3.9315574,A549,control,0.0,nM,24.0,control_0,control
H03_E09_RT_BC_91_Lig_BC_337-0,12.481186,-0.20961607,A549,control,0.0,nM,24.0,control_0,control
B02_F10_RT_BC_287_Lig_BC_20-0,5.22485,-0.9122613,A549,control,0.0,nM,24.0,control_0,control
E02_F10_RT_BC_28_Lig_BC_124-0,11.874837,-0.4422085,A549,control,0.0,nM,24.0,control_0,control
G03_E09_RT_BC_93_Lig_BC_33-0,9.997722,1.6455898,A549,control,0.0,nM,24.0,control_0,control
A09_F10_RT_BC_186_Lig_BC_229-0,9.626991,-3.1307762,A549,control,0.0,nM,24.0,control_0,control
D07_E09_RT_BC_104_Lig_BC_224-0,12.229381,0.44681355,A549,control,0.0,nM,24.0,control_0,control
D05_E09_RT_BC_224_Lig_BC_305-0,13.071347,0.60887665,A549,control,0.0,nM,24.0,control_0,control
F02_E09_RT_BC_189_Lig_BC_383-0,10.240161,3.147223,A549,control,0.0,nM,24.0,control_0,control
C10_F10_RT_BC_95_Lig_BC_144-0,6.552322,-3.041051,A549,control,0.0,nM,24.0,control_0,control
F08_E09_RT_BC_260_Lig_BC_323-0,13.278844,0.23902434,A549,control,0.0,nM,24.0,control_0,control
A09_E09_RT_BC_146_Lig_BC_286-0,11.700795,0.62757814,A549,control,0.0,nM,24.0,control_0,control
D03_E09_RT_BC_55_Lig_BC_190-0,6.407969,-0.6489125,A549,control,0.0,nM,24.0,control_0,control
F11_F10_RT_BC_341_Lig_BC_163-0,11.146164,-3.6755939,A549,control,0.0,nM,24.0,control_0,control
G01_F10_RT_BC_167_Lig_BC_356-0,9.8782835,4.224348,A549,control,0.0,nM,24.0,control_0,control
G09_E09_RT_BC_132_Lig_BC_256-0,6.626333,-0.69062823,A549,control,0.0,nM,24.0,control_0,control
G09_F10_RT_BC_241_Lig_BC_321-0,9.932239,-4.0530205,A549,control,0.0,nM,24.0,control_0,control
F02_E09_RT_BC_32_Lig_BC_210-0,7.8702526,-3.9522545,A549,control,0.0,nM,24.0,control_0,control
A07_E09_RT_BC_18_Lig_BC_151-0,9.747349,-2.7970855,A549,control,0.0,nM,24.0,control_0,control
H07_E09_RT_BC_337_Lig_BC_331-0,10.992388,0.26370913,A549,control,0.0,nM,24.0,control_0,control
D10_F10_RT_BC_234_Lig_BC_29-0,9.865007,4.180418,A549,control,0.0,nM,24.0,control_0,control
H09_F10_RT_BC_154_Lig_BC_244-0,11.845604,1.5318191,A549,control,0.0,nM,24.0,control_0,control
H01_E09_RT_BC_306_Lig_BC_90-0,8.155598,2.8270004,A549,control,0.0,nM,24.0,control_0,control
D04_F10_RT_BC_154_Lig_BC_319-0,10.909843,0.96965754,A549,control,0.0,nM,24.0,control_0,control
G06_E09_RT_BC_253_Lig_BC_354-0,5.9862022,-4.274802,A549,control,0.0,nM,24.0,control_0,control
H08_F10_RT_BC_293_Lig_BC_32-0,7.5963173,-2.5466785,A549,control,0.0,nM,24.0,control_0,control
F04_F10_RT_BC_248_Lig_BC_156-0,9.022571,0.9058986,A549,control,0.0,nM,24.0,control_0,control
A12_F10_RT_BC_172_Lig_BC_110-0,7.171433,3.5997963,A549,control,0.0,nM,24.0,control_0,control
E01_E09_RT_BC_381_Lig_BC_22-0,11.008186,2.5630293,A549,control,0.0,nM,24.0,control_0,control
A04_F10_RT_BC_152_Lig_BC_271-0,3.9045863,0.5843693,A549,control,0.0,nM,24.0,control_0,control
F10_E09_RT_BC_138_Lig_BC_330-0,5.9830704,-4.1995916,A549,control,0.0,nM,24.0,control_0,control
D01_F10_RT_BC_15_Lig_BC_256-0,7.652266,-0.42192283,A549,control,0.0,nM,24.0,control_0,control
F11_E09_RT_BC_238_Lig_BC_195-0,9.747288,3.9257882,A549,control,0.0,nM,24.0,control_0,control
H07_F10_RT_BC_318_Lig_BC_328-0,3.7249925,0.0639713,A549,control,0.0,nM,24.0,control_0,control
B05_F10_RT_BC_148_Lig_BC_351-0,7.8543596,-0.6264812,A549,control,0.0,nM,24.0,control_0,control
B04_F10_RT_BC_180_Lig_BC_98-0,11.456571,-0.40081143,A549,control,0.0,nM,24.0,control_0,control
A09_F10_RT_BC_191_Lig_BC_17-0,9.377849,3.589339,A549,control,0.0,nM,24.0,control_0,control
A09_E09_RT_BC_382_Lig_BC_147-0,10.639885,1.0117583,A549,control,0.0,nM,24.0,control_0,control
C11_F10_RT_BC_43_Lig_BC_200-0,11.64599,3.0077147,A549,control,0.0,nM,24.0,control_0,control
F12_E09_RT_BC_229_Lig_BC_190-0,12.678427,1.8932216,A549,control,0.0,nM,24.0,control_0,control
H08_F10_RT_BC_370_Lig_BC_245-0,12.827946,0.86076075,A549,control,0.0,nM,24.0,control_0,control
E07_F10_RT_BC_104_Lig_BC_178-0,8.5569105,3.5114594,A549,control,0.0,nM,24.0,control_0,control
B04_F10_RT_BC_88_Lig_BC_43-0,3.6096735,-0.35187507,A549,control,0.0,nM,24.0,control_0,control
D02_E09_RT_BC_41_Lig_BC_255-0,11.319112,0.19199027,A549,control,0.0,nM,24.0,control_0,control
C09_F10_RT_BC_352_Lig_BC_230-0,11.258811,-0.45278746,A549,control,0.0,nM,24.0,control_0,control
B09_F10_RT_BC_38_Lig_BC_27-0,11.708184,2.9411392,A549,control,0.0,nM,24.0,control_0,control
F10_F10_RT_BC_324_Lig_BC_259-0,12.751734,0.7903316,A549,control,0.0,nM,24.0,control_0,control
A07_F10_RT_BC_130_Lig_BC_172-0,12.807631,-0.79153216,A549,control,0.0,nM,24.0,control_0,control
G11_E09_RT_BC_225_Lig_BC_13-0,10.730487,0.928126,A549,control,0.0,nM,24.0,control_0,control
D05_F10_RT_BC_218_Lig_BC_71-0,13.228763,0.2430528,A549,control,0.0,nM,24.0,control_0,control
C11_F10_RT_BC_105_Lig_BC_153-0,12.018987,1.8046615,A549,control,0.0,nM,24.0,control_0,control
F06_E09_RT_BC_107_Lig_BC_366-0,10.008947,0.6894552,A549,control,0.0,nM,24.0,control_0,control
G11_E09_RT_BC_230_Lig_BC_288-0,12.712042,1.7055571,A549,control,0.0,nM,24.0,control_0,control
E05_F10_RT_BC_87_Lig_BC_19-0,6.7758884,-2.6892266,A549,control,0.0,nM,24.0,control_0,control
G08_E09_RT_BC_17_Lig_BC_211-0,5.1520805,-1.8436414,A549,control,0.0,nM,24.0,control_0,control
H03_F10_RT_BC_83_Lig_BC_176-0,4.9804735,0.011062032,A549,control,0.0,nM,24.0,control_0,control
G02_F10_RT_BC_7_Lig_BC_194-0,9.951439,-2.5206478,A549,control,0.0,nM,24.0,control_0,control
H02_F10_RT_BC_179_Lig_BC_237-0,5.004955,-2.3299096,A549,control,0.0,nM,24.0,control_0,control
F10_E09_RT_BC_331_Lig_BC_60-0,12.461094,0.24151888,A549,control,0.0,nM,24.0,control_0,control
C12_F10_RT_BC_349_Lig_BC_135-0,10.577178,3.6568103,A549,control,0.0,nM,24.0,control_0,control
G10_E09_RT_BC_339_Lig_BC_344-0,9.530069,-4.305807,A549,control,0.0,nM,24.0,control_0,control
B04_E09_RT_BC_140_Lig_BC_380-0,12.100049,-0.7769861,A549,control,0.0,nM,24.0,control_0,control
F11_E09_RT_BC_27_Lig_BC_90-0,12.662462,-1.2516023,A549,control,0.0,nM,24.0,control_0,control
D09_E09_RT_BC_158_Lig_BC_368-0,5.919649,-1.1528296,A549,control,0.0,nM,24.0,control_0,control
C08_F10_RT_BC_73_Lig_BC_109-0,10.876435,3.5630808,A549,control,0.0,nM,24.0,control_0,control
D01_E09_RT_BC_366_Lig_BC_138-0,11.551765,-3.3852446,A549,control,0.0,nM,24.0,control_0,control
C05_F10_RT_BC_181_Lig_BC_179-0,8.808326,-0.36701775,A549,control,0.0,nM,24.0,control_0,control
F09_E09_RT_BC_297_Lig_BC_183-0,5.96752,0.075598635,A549,control,0.0,nM,24.0,control_0,control
G11_F10_RT_BC_208_Lig_BC_134-0,11.759327,-2.4087348,A549,control,0.0,nM,24.0,control_0,control
H03_E09_RT_BC_130_Lig_BC_154-0,12.141771,1.6503339,A549,control,0.0,nM,24.0,control_0,control
C10_F10_RT_BC_300_Lig_BC_363-0,11.760597,0.9161812,A549,control,0.0,nM,24.0,control_0,control
E08_F10_RT_BC_163_Lig_BC_165-0,7.968303,3.9060292,A549,control,0.0,nM,24.0,control_0,control
G09_E09_RT_BC_131_Lig_BC_125-0,7.273841,3.445473,A549,control,0.0,nM,24.0,control_0,control
D05_F10_RT_BC_140_Lig_BC_186-0,11.222125,1.5871441,A549,control,0.0,nM,24.0,control_0,control
C04_F10_RT_BC_373_Lig_BC_80-0,12.620623,0.30078596,A549,control,0.0,nM,24.0,control_0,control
E04_E09_RT_BC_147_Lig_BC_101-0,10.141937,-3.0434377,A549,control,0.0,nM,24.0,control_0,control
C12_E09_RT_BC_71_Lig_BC_225-0,8.9298725,-0.2525524,A549,control,0.0,nM,24.0,control_0,control
C12_E09_RT_BC_177_Lig_BC_286-0,11.354878,-0.9722872,A549,control,0.0,nM,24.0,control_0,control
C02_F10_RT_BC_91_Lig_BC_252-0,6.385902,-1.6880691,A549,control,0.0,nM,24.0,control_0,control
A05_E09_RT_BC_47_Lig_BC_19-0,11.724908,-1.6917834,A549,control,0.0,nM,24.0,control_0,control
B12_F10_RT_BC_78_Lig_BC_319-0,8.878918,0.082625985,A549,control,0.0,nM,24.0,control_0,control
E04_E09_RT_BC_355_Lig_BC_155-0,8.305516,1.3635035,A549,control,0.0,nM,24.0,control_0,control
A10_E09_RT_BC_342_Lig_BC_342-0,9.348643,1.6249932,A549,control,0.0,nM,24.0,control_0,control
D08_F10_RT_BC_75_Lig_BC_152-1,7.0277133,0.79306805,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B04_E09_RT_BC_374_Lig_BC_110-1,5.017426,-2.4562738,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H12_E09_RT_BC_53_Lig_BC_13-1,12.356262,0.5743709,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B03_E09_RT_BC_306_Lig_BC_181-1,12.693234,2.093061,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H02_F10_RT_BC_242_Lig_BC_148-1,5.6547976,-4.0940475,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A03_E09_RT_BC_121_Lig_BC_14-1,6.8745112,-2.1423895,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F05_F10_RT_BC_332_Lig_BC_220-1,12.287457,0.61758363,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E06_F10_RT_BC_284_Lig_BC_113-1,7.0117908,3.2785566,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F12_E09_RT_BC_16_Lig_BC_50-1,12.491294,1.8279276,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F04_F10_RT_BC_358_Lig_BC_187-1,12.482836,0.1854199,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G09_E09_RT_BC_127_Lig_BC_5-1,5.9155655,-0.5011826,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F12_E09_RT_BC_14_Lig_BC_115-1,11.203448,1.075524,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G09_F10_RT_BC_35_Lig_BC_105-1,7.6393704,1.6632749,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E12_E09_RT_BC_263_Lig_BC_146-1,10.027007,0.7509953,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G08_F10_RT_BC_85_Lig_BC_154-1,9.998484,1.8025316,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C07_E09_RT_BC_214_Lig_BC_146-1,5.602868,-1.1909826,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H10_E09_RT_BC_306_Lig_BC_371-1,11.813314,2.8324986,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A03_E09_RT_BC_50_Lig_BC_308-1,9.633235,-3.4701257,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F10_E09_RT_BC_168_Lig_BC_363-1,13.066097,0.47048223,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E02_F10_RT_BC_187_Lig_BC_323-1,10.118197,2.686194,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A01_F10_RT_BC_228_Lig_BC_42-1,8.41006,3.198507,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G01_E09_RT_BC_244_Lig_BC_207-1,9.425597,3.0352817,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C02_E09_RT_BC_18_Lig_BC_376-1,6.0903125,0.6148277,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B10_F10_RT_BC_62_Lig_BC_341-1,8.554684,-0.31782368,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B02_E09_RT_BC_238_Lig_BC_51-1,12.254937,2.543456,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H09_E09_RT_BC_218_Lig_BC_33-1,13.215518,-0.41881612,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F02_E09_RT_BC_136_Lig_BC_128-1,13.033522,-0.2589376,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F09_F10_RT_BC_311_Lig_BC_369-1,5.5576634,-1.6101878,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D02_E09_RT_BC_234_Lig_BC_69-1,10.769167,-2.3187947,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D05_E09_RT_BC_272_Lig_BC_226-1,6.2602763,-0.9108381,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F08_F10_RT_BC_58_Lig_BC_94-1,9.328762,-0.49725154,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C09_F10_RT_BC_190_Lig_BC_193-1,12.927989,-0.659706,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G08_F10_RT_BC_116_Lig_BC_157-1,11.729582,-1.5810373,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D06_E09_RT_BC_44_Lig_BC_81-1,5.277919,-2.0258572,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H05_E09_RT_BC_31_Lig_BC_54-1,10.982574,1.7235371,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E01_F10_RT_BC_332_Lig_BC_211-1,7.6075935,-0.28294265,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C01_F10_RT_BC_326_Lig_BC_107-1,5.5216436,0.8043736,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A11_F10_RT_BC_67_Lig_BC_20-1,12.425861,2.184555,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B12_F10_RT_BC_109_Lig_BC_152-1,10.60887,2.6819296,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E05_F10_RT_BC_195_Lig_BC_366-1,11.331865,2.2176642,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D11_F10_RT_BC_334_Lig_BC_114-1,12.985151,-1.004747,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H05_F10_RT_BC_244_Lig_BC_193-1,7.8432565,1.6980652,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D01_F10_RT_BC_119_Lig_BC_33-1,8.107046,3.4385118,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D09_F10_RT_BC_307_Lig_BC_279-1,11.445213,2.577098,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E09_E09_RT_BC_45_Lig_BC_220-1,5.0608134,-1.6025157,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C07_F10_RT_BC_363_Lig_BC_88-1,5.8157024,2.0714362,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G12_F10_RT_BC_217_Lig_BC_359-1,10.673786,2.3779593,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A11_F10_RT_BC_220_Lig_BC_183-1,13.344731,-0.24427319,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G08_E09_RT_BC_275_Lig_BC_303-1,5.764705,0.0034427731,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E09_F10_RT_BC_6_Lig_BC_145-1,11.369057,1.8973689,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C02_E09_RT_BC_248_Lig_BC_153-1,4.8460054,0.30533323,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A07_E09_RT_BC_134_Lig_BC_266-1,6.9313397,2.1585264,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F11_E09_RT_BC_138_Lig_BC_109-1,11.349035,-0.3041587,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B03_F10_RT_BC_181_Lig_BC_376-1,11.6382475,-1.5108544,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F03_F10_RT_BC_94_Lig_BC_117-1,12.864903,1.1349175,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
A12_E09_RT_BC_245_Lig_BC_283-1,13.054048,0.26417482,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
D03_E09_RT_BC_189_Lig_BC_280-1,10.410495,0.73220783,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E04_F10_RT_BC_369_Lig_BC_370-1,12.186049,0.5730078,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C01_F10_RT_BC_369_Lig_BC_197-1,10.965896,2.3270895,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F10_F10_RT_BC_229_Lig_BC_265-1,10.848908,3.4776871,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
E02_E09_RT_BC_266_Lig_BC_43-1,11.337826,-0.7971597,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C05_F10_RT_BC_49_Lig_BC_351-1,3.8648987,-2.5425365,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
G05_E09_RT_BC_86_Lig_BC_286-1,10.613018,2.030671,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
F03_E09_RT_BC_75_Lig_BC_26-1,12.579927,0.22723433,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
B02_E09_RT_BC_255_Lig_BC_56-1,10.382871,3.7094736,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
C10_F10_RT_BC_131_Lig_BC_340-1,9.561833,2.9011009,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H12_F10_RT_BC_69_Lig_BC_324-1,7.9959044,2.3490565,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
H02_E09_RT_BC_179_Lig_BC_214-1,5.5008087,-2.3155699,A549,(+)-JQ1,10.0,nM,24.0,(+)-JQ1_10nM,true
